"country_code","country","unit_code","unit","financing_code","financing_scheme","year","value"
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2018,9.726
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2019,9.902
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2020,12.044
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2021,11.969
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2022,10.938
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2023,10.792
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2024,11.081
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","_T","Total",2025,11.363
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,2.11
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,2.063
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,2.089
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,2.096
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,2.091
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,2.052
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,2.081
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,2.094
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,2.054
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,2.106
